# =======================================================================================
#  
#      Filename:  perfmon_p6_events.txt
# 
#      Description:  Event list for Pentium 3
# 
#      Version:   <VERSION>
#      Released:  <DATE>
# 
#      Author:  Jan Treibig (jt), jan.treibig@gmail.com
#      Project:  likwid
#
#      Copyright (C) 2012 Jan Treibig 
#
#      This program is free software: you can redistribute it and/or modify it under
#      the terms of the GNU General Public License as published by the Free Software
#      Foundation, either version 3 of the License, or (at your option) any later
#      version.
#
#      This program is distributed in the hope that it will be useful, but WITHOUT ANY
#      WARRANTY; without even the implied warranty of MERCHANTABILITY or FITNESS FOR A
#      PARTICULAR PURPOSE.  See the GNU General Public License for more details.
#
#      You should have received a copy of the GNU General Public License along with
#      this program.  If not, see <http://www.gnu.org/licenses/>.
#
# =======================================================================================

EVENT_DATA_MEM_REFS              0x43 PMC
UMASK_DATA_MEM_REFS              0x00

EVENT_DCU_LINES_IN               0x45 PMC
UMASK_DCU_LINES_IN               0x00

EVENT_DCU_M_LINES_IN             0x46 PMC
UMASK_DCU_M_LINES_IN             0x00

EVENT_DCU_M_LINES_OUT            0x47 PMC
UMASK_DCU_M_LINES_OUT            0x00

EVENT_DCU_MISS_OUTSTANDING       0x48 PMC
UMASK_DCU_MISS_OUTSTANDING       0x00

EVENT_IFU_IFETCH                 0x80 PMC
UMASK_IFU_IFETCH                 0x00

EVENT_IFU_IFETCH_MISS            0x81 PMC
UMASK_IFU_IFETCH_MISS            0x00

EVENT_ITLB_MISS                  0x85 PMC
UMASK_ITLB_MISS                  0x00

EVENT_IFU_MEM_STALL              0x86 PMC
UMASK_IFU_MEM_STALL              0x00

EVENT_ILD_STALL                  0x87 PMC
UMASK_ILD_STALL                  0x00

EVENT_L2_IFETCH                  0x28 PMC
UMASK_L2_IFETCH                  0x0F

EVENT_L2_LD                      0x29 PMC
UMASK_L2_LD                      0x0F

EVENT_L2_ST                      0x2A PMC
UMASK_L2_ST                      0x0F

EVENT_L2_LINES_IN                0x24 PMC
UMASK_L2_LINES_IN                0x00

EVENT_L2_LINES_OUT               0x26 PMC
UMASK_L2_LINES_OUT               0x00

EVENT_L2_LINES_INM               0x25 PMC
UMASK_L2_LINES_INM               0x00

EVENT_L2_LINES_OUTM              0x27 PMC
UMASK_L2_LINES_OUTM              0x00

EVENT_L2_RQSTS                   0x2E PMC
UMASK_L2_RQSTS                   0x00

EVENT_L2_ADS                     0x21 PMC
UMASK_L2_ADS                     0x00

EVENT_L2_DBUS_BUSY               0x22 PMC
UMASK_L2_DBUS_BUSY               0x00

EVENT_L2_DBUS_BUSY_RD            0x23 PMC
UMASK_L2_DBUS_BUSY_RD            0x00

EVENT_BUS_DRDY_CLOCKS            0x62 PMC
UMASK_BUS_DRDY_CLOCKS_SELF       0x00
UMASK_BUS_DRDY_CLOCKS_ANY        0x20

EVENT_BUS_LOCK_CLOCKS            0x63 PMC
UMASK_BUS_LOCK_CLOCKS_SELF       0x00
UMASK_BUS_LOCK_CLOCKS_ANY        0x20

EVENT_BUS_REQ_OUTSTANDING        0x60 PMC
UMASK_BUS_REQ_OUTSTANDING_SELF   0x00

EVENT_BUS_TRAN_BRD               0x65 PMC
UMASK_BUS_TRAN_BRD_SELF          0x00
UMASK_BUS_TRAN_BRD_ANY           0x20

EVENT_BUS_TRAN_RFO               0x66 PMC
UMASK_BUS_TRAN_RFO_SELF          0x00
UMASK_BUS_TRAN_RFO_ANY           0x20

EVENT_BUS_TRAN_WB                0x67 PMC
UMASK_BUS_TRAN_WB_SELF           0x00
UMASK_BUS_TRAN_WB_ANY            0x20

EVENT_BUS_TRAN_IFETCH            0x68 PMC
UMASK_BUS_TRAN_IFETCH_SELF       0x00
UMASK_BUS_TRAN_IFETCH_ANY        0x20

